同辈的压力,peer pressure
教育类电视节目,educational programmes
国际语言,international languages
很少人说的语言,less-spoke(?) languages
濒临消失的语言,endangered languages
交流方式,a means of communication
保护传统,preserve/protect tradtions
保护语言,preserve/protect languages
庆祝节日,celebrate holidays
全球性的语言,global language
少数民族语言/小语种,minority languages
母语,the mother tongue
文化认同,cultural identity
保护语言多样性,preserve the diversity of language
文化多样性,cultural diversity
传统食物,tradtional foods
违法,commit a crime
触犯法律,violate the law
遵守法律,comply with laws/obey laws
面对惩罚,face the punishment
严重后果,severe/serious consequences
青少年犯罪,juvenile delinquency
轻微的犯罪,petty crime
种族矛盾,racial tensions
快速赚钱,make fast money
违反法律,violate the law
遵守法律,obey laws
监禁,serve a prison term
青少年犯罪,youngth crime
年轻的罪犯,young offenders
严重的犯罪,serious crime
过着忙碌的生活,lead a hectic life
喜欢运动,have an active lifestyle
