chinese, phrase
(游客)尊重当地的传统和风俗, respect local traditions and customs
(政府)尊重公民的个人选择, respect people's personal choices
(在网上)分享照片和视频, share photos and videos
分享想法和意见, share ideas and opinions
(老年人)与年轻人分享他们的人生经验, share their life experience with the young generation
乘坐公共交通, take public transport
(远距离运输的食品)抢走当地农民的就业机会, take away jobs from local farmers
(机器人)抢走工人的工作机会, take away jobs from factory workers
重视他们的传统, value their traditions
重视他们的文化传承, value their cultural heritage
全职工作, work full-time
加班, work overtime
一起紧密地合作, work closly together.
